cancer	patient	drug	response
bone	EW.16	Cisplatin	3.20437
bone	EW.13	Cisplatin	4.124266
bone	EW.22	Cisplatin	0.730471
bone	EW.24	Cisplatin	4.676046
nervous_system	LAN.6	Cisplatin	5.544795
nervous_system	NB10	Cisplatin	2.440916
nervous_system	NB12	Cisplatin	5.114736
nervous_system	NB6	Cisplatin	5.763551
nervous_system	NB7	Cisplatin	4.031338
nervous_system	NB17	Cisplatin	4.239449
nervous_system	NB5	Cisplatin	1.701413
nervous_system	NB13	Cisplatin	3.692069
nervous_system	NB14	Cisplatin	2.448649
nervous_system	NB1	Cisplatin	1.887755
soft_tissue	RH.1	Cisplatin	5.809274
soft_tissue	RH.18	Cisplatin	5.866304
skin	MZ2.MEL	Cisplatin	0.433319
skin	SK.MEL.5	Cisplatin	3.04863
breast	Hs.578.T	Cisplatin	2.424805
blood	MOLT.4	Cisplatin	3.352361
urogenital_system	SK.OV.3	Cisplatin	5.915677
breast	MDA.MB.231	Cisplatin	3.455971
digestive_system	COLO.205	Cisplatin	6.205654
digestive_system	SW620	Cisplatin	2.100729
kidney	CAKI.1	Cisplatin	1.983865
blood	RPMI.8226	Cisplatin	3.344525
blood	SR	Cisplatin	3.625961
lung	NCI.H322M	Cisplatin	5.597062
urogenital_system	IGROV.1	Cisplatin	4.027199
urogenital_system	OVCAR.5	Cisplatin	1.392249
lung	EKVX	Cisplatin	6.183365
digestive_system	HCC2998	Cisplatin	3.223303
lung	HOP.62	Cisplatin	1.518018
lung	HOP.92	Cisplatin	1.255816
skin	LOXIMVI	Cisplatin	1.279202
skin	M14	Cisplatin	5.114528
skin	UACC.62	Cisplatin	2.518961
skin	UACC.257	Cisplatin	4.684817
kidney	RXF393	Cisplatin	2.144351
kidney	SN12C	Cisplatin	2.838244
kidney	TK10	Cisplatin	3.432917
kidney	U031	Cisplatin	2.556228
nervous_system	SNB75	Cisplatin	3.872174
nervous_system	U251	Cisplatin	2.449286
nervous_system	SF539	Cisplatin	1.260311
nervous_system	SF295	Cisplatin	2.234828
nervous_system	SF268	Cisplatin	0.486925
digestive_system	KM12	Cisplatin	5.000273
urogenital_system	OVCAR.4	Cisplatin	3.104172
urogenital_system	OVCAR.8	Cisplatin	2.988642
pancreas	BxPC.3	Cisplatin	2.109725
thyroid	BHT.101	Cisplatin	1.761811
nervous_system	Becker	Cisplatin	2.87783
blood	BE.13	Cisplatin	4.059025
blood	ARH.77	Cisplatin	4.65425
digestive_system	AGS	Cisplatin	5.789637
lung	ABC.1	Cisplatin	1.283161
skin	A2058	Cisplatin	1.385585
skin	A375	Cisplatin	0.277869
aero_digestive_tract	A253	Cisplatin	3.336149
thyroid	8305C	Cisplatin	4.120571
urogenital_system	X647.V	Cisplatin	4.61304
urogenital_system	X639.V	Cisplatin	0.865181
blood	X697	Cisplatin	2.331211
breast	BT.20	Cisplatin	5.363163
nervous_system	ACN	Cisplatin	5.095343
urogenital_system	A2780	Cisplatin	1.574386
lung	COR.L105	Cisplatin	3.123498
blood	CRO.AP2	Cisplatin	0.778904
lung	COR.L88	Cisplatin	6.511787
breast	COLO.824	Cisplatin	6.156037
skin	COLO.800	Cisplatin	2.999161
skin	COLO.792	Cisplatin	1.745853
digestive_system	COLO.741	Cisplatin	3.718902
aero_digestive_tract	COLO.680N	Cisplatin	3.982318
skin	COLO.679	Cisplatin	2.109955
nervous_system	CHP.212	Cisplatin	2.2101
pancreas	CFPAC.1	Cisplatin	3.561483
nervous_system	CCF.STTG1	Cisplatin	3.764381
urogenital_system	Ca.Ski	Cisplatin	1.428063
breast	CAL.120	Cisplatin	4.527307
bone	CAL.72	Cisplatin	3.174377
thyroid	CAL.62	Cisplatin	3.46495
skin	C32	Cisplatin	1.712039
blood	Daudi	Cisplatin	5.335181
blood	DB	Cisplatin	3.06994
nervous_system	Daoy	Cisplatin	0.410368
nervous_system	D.283MED	Cisplatin	1.766027
nervous_system	DBTRG.05MG	Cisplatin	3.455554
blood	DEL	Cisplatin	4.242757
aero_digestive_tract	Detroit562	Cisplatin	3.644248
blood	DG.75	Cisplatin	3.691203
nervous_system	DK.MG	Cisplatin	3.490497
skin	DJM.1	Cisplatin	4.405367
blood	DOHH.2	Cisplatin	1.442332
urogenital_system	DoTc2.4510	Cisplatin	2.944113
breast	DU.4475	Cisplatin	3.117151
blood	EB2	Cisplatin	6.415721
blood	EB.3	Cisplatin	6.491941
digestive_system	ECC10	Cisplatin	3.463248
breast	EFM.19	Cisplatin	5.499859
urogenital_system	EFO.27	Cisplatin	2.578744
digestive_system	EGI.1	Cisplatin	2.407115
blood	EM.2	Cisplatin	4.832225
blood	EoL.1.cell	Cisplatin	3.515493
digestive_system	ETK.1	Cisplatin	3.907235
breast	EVSA.T	Cisplatin	2.454284
aero_digestive_tract	FADU	Cisplatin	4.9595
thyroid	FTC.133	Cisplatin	1.562415
skin	G.361	Cisplatin	2.515294
nervous_system	GAMG	Cisplatin	5.667348
digestive_system	GCIY	Cisplatin	2.919018
blood	GDM.1	Cisplatin	5.87623
nervous_system	GI.1	Cisplatin	0.724192
nervous_system	GI.ME.N	Cisplatin	2.393368
nervous_system	GMS.10	Cisplatin	4.444863
nervous_system	GOTO	Cisplatin	1.127711
blood	GR.ST	Cisplatin	0.773334
soft_tissue	GCT	Cisplatin	1.91856
urogenital_system	ESS.1	Cisplatin	0.993356
digestive_system	GT3TKB	Cisplatin	1.747899
nervous_system	H4	Cisplatin	1.550609
blood	H9	Cisplatin	5.15506
blood	HC.1	Cisplatin	4.881295
breast	HCC1419	Cisplatin	3.385655
breast	HCC1569	Cisplatin	6.120834
breast	HCC1806	Cisplatin	1.991426
breast	HCC70	Cisplatin	2.635947
blood	HD.MY.Z	Cisplatin	2.888265
urogenital_system	HEC.1	Cisplatin	2.584415
blood	HEL	Cisplatin	0.331935
digestive_system	HGC.27	Cisplatin	1.895023
blood	HH	Cisplatin	3.233163
digestive_system	HLE	Cisplatin	1.801752
skin	HMV.II	Cisplatin	3.731449
aero_digestive_tract	HN	Cisplatin	3.584438
bone	HOS	Cisplatin	0.940133
aero_digestive_tract	HSC.3	Cisplatin	3.087901
aero_digestive_tract	HSC.4	Cisplatin	0.458272
blood	HT	Cisplatin	6.200692
soft_tissue	HT.1080	Cisplatin	3.175388
urogenital_system	HT.1197	Cisplatin	3.783517
urogenital_system	HT.1376	Cisplatin	4.594165
skin	HT.144	Cisplatin	2.481563
urogenital_system	HT.3	Cisplatin	1.617329
digestive_system	HuCCT1	Cisplatin	4.250526
digestive_system	HuH.7	Cisplatin	3.711231
bone	HuO9	Cisplatin	3.655727
digestive_system	HUTU.80	Cisplatin	4.572472
skin	IGR.1	Cisplatin	4.530183
nervous_system	IMR.5	Cisplatin	1.656907
skin	IPC.298	Cisplatin	6.1416
skin	IST.MEL1	Cisplatin	2.238629
lung	IST.MES1	Cisplatin	2.981633
urogenital_system	JAR	Cisplatin	3.240768
urogenital_system	JEG.3	Cisplatin	2.331539
blood	JiyoyeP.2003	Cisplatin	6.087407
blood	JVM.2	Cisplatin	2.724556
blood	JVM.3	Cisplatin	1.575373
nervous_system	KALS.1	Cisplatin	4.264002
blood	KARPAS.45	Cisplatin	6.351316
blood	KARPAS.299	Cisplatin	1.75091
blood	KARPAS.422	Cisplatin	5.773301
blood	KASUMI.1	Cisplatin	4.241239
blood	KE.37	Cisplatin	3.608988
blood	KG.1	Cisplatin	1.29019
nervous_system	KINGS.1	Cisplatin	3.755583
blood	KMOE.2	Cisplatin	3.276047
nervous_system	KNS.42	Cisplatin	3.019929
pancreas	HuP.T3	Cisplatin	3.838605
pancreas	HuP.T4	Cisplatin	2.488086
digestive_system	HT55	Cisplatin	4.772047
bone	H.EMC.SS	Cisplatin	3.0519
digestive_system	GP5d	Cisplatin	3.187374
lung	DMS.53	Cisplatin	6.482946
soft_tissue	G.402	Cisplatin	1.531511
kidney	G.401	Cisplatin	1.981177
blood	KY821	Cisplatin	5.466966
blood	KU812	Cisplatin	4.275968
urogenital_system	KU.19.19	Cisplatin	2.312987
nervous_system	KS.1	Cisplatin	3.341655
nervous_system	KP.N.YN	Cisplatin	6.365036
aero_digestive_tract	KYSE.150	Cisplatin	6.019019
aero_digestive_tract	KYSE.180	Cisplatin	1.760555
aero_digestive_tract	KYSE.270	Cisplatin	2.397199
aero_digestive_tract	KYSE.450	Cisplatin	3.776897
aero_digestive_tract	KYSE.510	Cisplatin	1.219164
blood	L.428	Cisplatin	3.989468
